ttime,pv,PTY,REH,RN1,SKY,T1H,WSD
2022-03-23T00:00:00,1.72,0,60,0,4,7,1
2022-03-23T00:05:00,1.72,0,60,0,4,7,1
2022-03-23T00:10:00,1.72,0,60,0,4,7,1
2022-03-23T00:15:00,1.72,0,60,0,4,7,1
2022-03-23T00:20:00,1.72,0,60,0,4,7,1
2022-03-23T00:25:00,1.72,0,60,0,4,7,1
2022-03-23T00:30:00,1.72,0,60,0,4,7,2
2022-03-23T00:35:00,1.72,0,60,0,4,7,2
2022-03-23T00:40:00,1.72,0,60,0,4,7,2
2022-03-23T00:45:00,1.72,0,60,0,4,7,2
2022-03-23T00:50:00,1.72,0,60,0,4,7,2
2022-03-23T00:55:00,1.72,0,60,0,4,7,2
2022-03-23T01:00:00,1.72,0,60,0,4,7,2
2022-03-23T01:05:00,1.72,0,60,0,4,7,2
2022-03-23T01:10:00,1.72,0,60,0,4,7,2
2022-03-23T01:15:00,1.72,0,60,0,4,7,2
2022-03-23T01:20:00,1.72,0,60,0,4,7,2
2022-03-23T01:25:00,1.72,0,60,0,4,7,2
2022-03-23T01:30:00,1.72,0,55,0,4,8,1
2022-03-23T01:35:00,1.72,0,55,0,4,8,1
2022-03-23T01:40:00,1.72,0,55,0,4,8,1
2022-03-23T01:45:00,1.72,0,55,0,4,8,1
2022-03-23T01:50:00,1.72,0,55,0,4,8,1
2022-03-23T01:55:00,1.72,0,55,0,4,8,1
2022-03-23T02:00:00,1.72,0,55,0,4,8,1
2022-03-23T02:05:00,1.72,0,55,0,4,8,1
2022-03-23T02:10:00,1.72,0,55,0,4,8,1
2022-03-23T02:15:00,1.72,0,55,0,4,8,1
2022-03-23T02:20:00,1.72,0,55,0,4,8,1
2022-03-23T02:25:00,1.72,0,55,0,4,8,1
2022-03-23T02:30:00,1.72,0,50,0,4,9,2
2022-03-23T02:35:00,1.72,0,50,0,4,9,2
2022-03-23T02:40:00,1.72,0,50,0,4,9,2
2022-03-23T02:45:00,1.72,0,50,0,4,9,2
2022-03-23T02:50:00,1.72,0,50,0,4,9,2
2022-03-23T02:55:00,1.72,0,50,0,4,9,2
2022-03-23T03:00:00,1.72,0,50,0,4,9,2
2022-03-23T03:05:00,1.72,0,50,0,4,9,2
2022-03-23T03:10:00,1.72,0,50,0,4,9,2
2022-03-23T03:15:00,1.72,0,50,0,4,9,2
2022-03-23T03:20:00,1.72,0,50,0,4,9,2
2022-03-23T03:25:00,1.72,0,50,0,4,9,2
2022-03-23T03:30:00,1.72,5,45,0.008333333,4,10,0
2022-03-23T03:35:00,1.72,5,45,0.008333333,4,10,0
2022-03-23T03:40:00,1.72,5,45,0.008333333,4,10,0
2022-03-23T03:45:00,1.72,5,45,0.008333333,4,10,0
2022-03-23T03:50:00,1.72,5,45,0.008333333,4,10,0
2022-03-23T03:55:00,1.72,5,45,0.008333333,4,10,0
2022-03-23T04:00:00,1.72,5,45,0.008333333,4,10,0
2022-03-23T04:05:00,1.72,5,45,0.008333333,4,10,0
2022-03-23T04:10:00,1.72,5,45,0.008333333,4,10,0
2022-03-23T04:15:00,1.72,5,45,0.008333333,4,10,0
2022-03-23T04:20:00,1.72,5,45,0.008333333,4,10,0
2022-03-23T04:25:00,1.72,5,45,0.008333333,4,10,0
2022-03-23T04:30:00,1.72,0,35,0,1,13,2
2022-03-23T04:35:00,1.72,0,35,0,1,13,2
2022-03-23T04:40:00,1.72,0,35,0,1,13,2
2022-03-23T04:45:00,1.72,0,35,0,1,13,2
2022-03-23T04:50:00,1.72,0,35,0,1,13,2
2022-03-23T04:55:00,1.72,0,35,0,1,13,2
2022-03-23T05:00:00,1.72,0,35,0,1,13,2
2022-03-23T05:05:00,1.72,0,35,0,1,13,2
2022-03-23T05:10:00,1.72,0,35,0,1,13,2
2022-03-23T05:15:00,1.72,0,35,0,1,13,2
2022-03-23T05:20:00,1.72,0,35,0,1,13,2
2022-03-23T05:25:00,1.72,0,35,0,1,13,2
2022-03-23T05:30:00,1.72,0,35,0,3,14,2
2022-03-23T05:35:00,1.72,0,35,0,3,14,2
2022-03-23T05:40:00,1.72,0,35,0,3,14,2
2022-03-23T05:45:00,1.72,0,35,0,3,14,2
2022-03-23T05:50:00,1.72,0,35,0,3,14,2
2022-03-23T05:55:00,1.72,0,35,0,3,14,2
2022-03-23T06:00:00,1.72,0,35,0,3,14,2
2022-03-23T06:05:00,1.72,0,35,0,3,14,2
2022-03-23T06:10:00,1.72,0,35,0,3,14,2
2022-03-23T06:15:00,1.72,0,35,0,3,14,2
2022-03-23T06:20:00,1.72,0,35,0,3,14,2
2022-03-23T06:25:00,1.7,0,35,0,3,14,2
2022-03-23T06:30:00,1.87,0,35,0,3,14,2
2022-03-23T06:35:00,2.79,0,35,0,3,14,2
2022-03-23T06:40:00,4.52,0,35,0,3,14,2
2022-03-23T06:45:00,6.48,0,35,0,3,14,2
2022-03-23T06:50:00,7.83,0,35,0,3,14,2
2022-03-23T06:55:00,12.26,0,35,0,3,14,2
2022-03-23T07:00:00,9.19,0,35,0,3,14,2
2022-03-23T07:05:00,6.95,0,35,0,3,14,2
2022-03-23T07:10:00,12.35,0,35,0,3,14,2
2022-03-23T07:15:00,14.61,0,35,0,3,14,2
2022-03-23T07:20:00,15.37,0,35,0,3,14,2
2022-03-23T07:25:00,16.14,0,35,0,3,14,2
2022-03-23T07:30:00,17.36,0,40,0,4,13,3
2022-03-23T07:35:00,16.03,0,40,0,4,13,3
2022-03-23T07:40:00,16.45,0,40,0,4,13,3
2022-03-23T07:45:00,17.77,0,40,0,4,13,3
2022-03-23T07:50:00,20.11,0,40,0,4,13,3
2022-03-23T07:55:00,36.16,0,40,0,4,13,3
2022-03-23T08:00:00,51.26,0,40,0,4,13,3
2022-03-23T08:05:00,45.44,0,40,0,4,13,3
2022-03-23T08:10:00,52.12,0,40,0,4,13,3
2022-03-23T08:15:00,46.3,0,40,0,4,13,3
2022-03-23T08:20:00,51.29,0,40,0,4,13,3
2022-03-23T08:25:00,55.67,0,40,0,4,13,3
2022-03-23T08:30:00,68.68,0,50,0,4,12,1
2022-03-23T08:35:00,82.27,0,50,0,4,12,1
2022-03-23T08:40:00,96.6,0,50,0,4,12,1
2022-03-23T08:45:00,92.42,0,50,0,4,12,1
2022-03-23T08:50:00,76.4,0,50,0,4,12,1
2022-03-23T08:55:00,64.48,0,50,0,4,12,1
2022-03-23T09:00:00,63.71,0,50,0,4,12,1
2022-03-23T09:05:00,60.09,0,50,0,4,12,1
2022-03-23T09:10:00,58.11,0,50,0,4,12,1
2022-03-23T09:15:00,57.84,0,50,0,4,12,1
2022-03-23T09:20:00,56.99,0,50,0,4,12,1
2022-03-23T09:25:00,54.96,0,50,0,4,12,1
2022-03-23T09:30:00,50.22,0,50,0,4,11,0
2022-03-23T09:35:00,51.92,0,50,0,4,11,0
2022-03-23T09:40:00,54.38,0,50,0,4,11,0
2022-03-23T09:45:00,58.42,0,50,0,4,11,0
2022-03-23T09:50:00,63.23,0,50,0,4,11,0
2022-03-23T09:55:00,66.47,0,50,0,4,11,0
2022-03-23T10:00:00,67.63,0,50,0,4,11,0
2022-03-23T10:05:00,67.97,0,50,0,4,11,0
2022-03-23T10:10:00,73.4,0,50,0,4,11,0
2022-03-23T10:15:00,75.38,0,50,0,4,11,0
2022-03-23T10:20:00,69.86,0,50,0,4,11,0
2022-03-23T10:25:00,74.84,0,50,0,4,11,0
2022-03-23T10:30:00,79.45,0,60,0,1,9,0
2022-03-23T10:35:00,81.59,0,60,0,1,9,0
2022-03-23T10:40:00,85.53,0,60,0,1,9,0
2022-03-23T10:45:00,91.83,0,60,0,1,9,0
2022-03-23T10:50:00,96.93,0,60,0,1,9,0
2022-03-23T10:55:00,103.2,0,60,0,1,9,0
2022-03-23T11:00:00,99.7,0,60,0,1,9,0
2022-03-23T11:05:00,103.22,0,60,0,1,9,0
2022-03-23T11:10:00,105.85,0,60,0,1,9,0
2022-03-23T11:15:00,108.65,0,60,0,1,9,0
2022-03-23T11:20:00,94.41,0,60,0,1,9,0
2022-03-23T11:25:00,98.14,0,60,0,1,9,0
2022-03-23T11:30:00,129.4,0,65,0,1,8,1
2022-03-23T11:35:00,146.99,0,65,0,1,8,1
2022-03-23T11:40:00,137.9,0,65,0,1,8,1
2022-03-23T11:45:00,134.61,0,65,0,1,8,1
2022-03-23T11:50:00,127.7,0,65,0,1,8,1
2022-03-23T11:55:00,137.44,0,65,0,1,8,1
2022-03-23T12:00:00,146.09,0,65,0,1,8,1
2022-03-23T12:05:00,137.67,0,65,0,1,8,1
2022-03-23T12:10:00,156.12,0,65,0,1,8,1
2022-03-23T12:15:00,193.45,0,65,0,1,8,1
2022-03-23T12:20:00,166.08,0,65,0,1,8,1
2022-03-23T12:25:00,140.8,0,65,0,1,8,1
2022-03-23T12:30:00,142.44,0,60,0,1,8,1
2022-03-23T12:35:00,138.14,0,60,0,1,8,1
2022-03-23T12:40:00,138.08,0,60,0,1,8,1
2022-03-23T12:45:00,112.4,0,60,0,1,8,1
2022-03-23T12:50:00,109.28,0,60,0,1,8,1
2022-03-23T12:55:00,112.99,0,60,0,1,8,1
2022-03-23T13:00:00,91.44,0,60,0,1,8,1
2022-03-23T13:05:00,97.94,0,60,0,1,8,1
2022-03-23T13:10:00,110.51,0,60,0,1,8,1
2022-03-23T13:15:00,120.51,0,60,0,1,8,1
2022-03-23T13:20:00,190.9,0,60,0,1,8,1
2022-03-23T13:25:00,194.36,0,60,0,1,8,1
2022-03-23T13:30:00,190.11,0,65,0,1,7,1
2022-03-23T13:35:00,276.22,0,65,0,1,7,1
2022-03-23T13:40:00,213.06,0,65,0,1,7,1
2022-03-23T13:45:00,205.15,0,65,0,1,7,1
2022-03-23T13:50:00,344.75,0,65,0,1,7,1
2022-03-23T13:55:00,324.85,0,65,0,1,7,1
2022-03-23T14:00:00,307.88,0,65,0,1,7,1
2022-03-23T14:05:00,294.42,0,65,0,1,7,1
2022-03-23T14:10:00,288.45,0,65,0,1,7,1
2022-03-23T14:15:00,282.5,0,65,0,1,7,1
2022-03-23T14:20:00,279.57,0,65,0,1,7,1
2022-03-23T14:25:00,275.93,0,65,0,1,7,1
2022-03-23T14:30:00,271.35,0,60,0,1,7,3
2022-03-23T14:35:00,266.55,0,60,0,1,7,3
2022-03-23T14:40:00,262.89,0,60,0,1,7,3
2022-03-23T14:45:00,265.52,0,60,0,1,7,3
2022-03-23T14:50:00,255.41,0,60,0,1,7,3
2022-03-23T14:55:00,255.95,0,60,0,1,7,3
2022-03-23T15:00:00,243.48,0,60,0,1,7,3
2022-03-23T15:05:00,235.08,0,60,0,1,7,3
2022-03-23T15:10:00,207.34,0,60,0,1,7,3
2022-03-23T15:15:00,212.7,0,60,0,1,7,3
2022-03-23T15:20:00,123.63,0,60,0,1,7,3
2022-03-23T15:25:00,131.43,0,60,0,1,7,3
2022-03-23T15:30:00,183.28,0,70,0,1,6,1
2022-03-23T15:35:00,203.6,0,70,0,1,6,1
2022-03-23T15:40:00,111.71,0,70,0,1,6,1
2022-03-23T15:45:00,112.01,0,70,0,1,6,1
2022-03-23T15:50:00,97.15,0,70,0,1,6,1
2022-03-23T15:55:00,83.63,0,70,0,1,6,1
2022-03-23T16:00:00,81.87,0,70,0,1,6,1
2022-03-23T16:05:00,69.66,0,70,0,1,6,1
2022-03-23T16:10:00,58.99,0,70,0,1,6,1
2022-03-23T16:15:00,57.16,0,70,0,1,6,1
2022-03-23T16:20:00,55.71,0,70,0,1,6,1
2022-03-23T16:25:00,56.82,0,70,0,1,6,1
2022-03-23T16:30:00,67.11,0,65,0,1,5,2
2022-03-23T16:35:00,87,0,65,0,1,5,2
2022-03-23T16:40:00,79.9,0,65,0,1,5,2
2022-03-23T16:45:00,72.45,0,65,0,1,5,2
2022-03-23T16:50:00,69.71,0,65,0,1,5,2
2022-03-23T16:55:00,59.17,0,65,0,1,5,2
2022-03-23T17:00:00,51.58,0,65,0,1,5,2
2022-03-23T17:05:00,49.32,0,65,0,1,5,2
2022-03-23T17:10:00,40.11,0,65,0,1,5,2
2022-03-23T17:15:00,31.74,0,65,0,1,5,2
2022-03-23T17:20:00,25.56,0,65,0,1,5,2
2022-03-23T17:25:00,23.24,0,65,0,1,5,2
2022-03-23T17:30:00,22.22,0,65,0,1,5,1
2022-03-23T17:35:00,19.24,0,65,0,1,5,1
2022-03-23T17:40:00,18.74,0,65,0,1,5,1
2022-03-23T17:45:00,17.53,0,65,0,1,5,1
2022-03-23T17:50:00,17.02,0,65,0,1,5,1
2022-03-23T17:55:00,17.52,0,65,0,1,5,1
2022-03-23T18:00:00,15.77,0,65,0,1,5,1
2022-03-23T18:05:00,16.03,0,65,0,1,5,1
2022-03-23T18:10:00,16.21,0,65,0,1,5,1
2022-03-23T18:15:00,14.29,0,65,0,1,5,1
2022-03-23T18:20:00,16.3,0,65,0,1,5,1
2022-03-23T18:25:00,13.58,0,65,0,1,5,1
2022-03-23T18:30:00,5.47,0,65,0,1,5,1
2022-03-23T18:35:00,4.88,0,65,0,1,5,1
2022-03-23T18:40:00,2.02,0,65,0,1,5,1
2022-03-23T18:45:00,1.99,0,65,0,1,5,1
2022-03-23T18:50:00,1.95,0,65,0,1,5,1
2022-03-23T18:55:00,1.96,0,65,0,1,5,1
2022-03-23T19:00:00,1.96,0,65,0,1,5,1
2022-03-23T19:05:00,1.96,0,65,0,1,5,1
2022-03-23T19:10:00,1.96,0,65,0,1,5,1
2022-03-23T19:15:00,1.96,0,65,0,1,5,1
2022-03-23T19:20:00,1.96,0,65,0,1,5,1
2022-03-23T19:25:00,1.96,0,65,0,1,5,1
2022-03-23T19:30:00,1.96,0,70,0,1,4,2
2022-03-23T19:35:00,1.96,0,70,0,1,4,2
2022-03-23T19:40:00,1.96,0,70,0,1,4,2
2022-03-23T19:45:00,1.96,0,70,0,1,4,2
2022-03-23T19:50:00,1.96,0,70,0,1,4,2
2022-03-23T19:55:00,1.96,0,70,0,1,4,2
2022-03-23T20:00:00,1.96,0,70,0,1,4,2
2022-03-23T20:05:00,1.96,0,70,0,1,4,2
2022-03-23T20:10:00,1.96,0,70,0,1,4,2
2022-03-23T20:15:00,1.96,0,70,0,1,4,2
2022-03-23T20:20:00,1.96,0,70,0,1,4,2
2022-03-23T20:25:00,1.96,0,70,0,1,4,2
2022-03-23T20:30:00,1.96,0,70,0,1,4,0
2022-03-23T20:35:00,1.96,0,70,0,1,4,0
2022-03-23T20:40:00,1.96,0,70,0,1,4,0
2022-03-23T20:45:00,1.96,0,70,0,1,4,0
2022-03-23T20:50:00,1.96,0,70,0,1,4,0
2022-03-23T20:55:00,1.96,0,70,0,1,4,0
2022-03-23T21:00:00,1.96,0,70,0,1,4,0
2022-03-23T21:05:00,1.96,0,70,0,1,4,0
2022-03-23T21:10:00,1.96,0,70,0,1,4,0
2022-03-23T21:15:00,1.96,0,70,0,1,4,0
2022-03-23T21:20:00,1.96,0,70,0,1,4,0
2022-03-23T21:25:00,1.96,0,70,0,1,4,0
2022-03-23T21:30:00,1.96,0,75,0,1,3,0
2022-03-23T21:35:00,1.96,0,75,0,1,3,0
2022-03-23T21:40:00,1.96,0,75,0,1,3,0
2022-03-23T21:45:00,1.96,0,75,0,1,3,0
2022-03-23T21:50:00,1.96,0,75,0,1,3,0
2022-03-23T21:55:00,1.96,0,75,0,1,3,0
2022-03-23T22:00:00,1.96,0,75,0,1,3,0
2022-03-23T22:05:00,1.96,0,75,0,1,3,0
2022-03-23T22:10:00,1.96,0,75,0,1,3,0
2022-03-23T22:15:00,1.96,0,75,0,1,3,0
2022-03-23T22:20:00,1.96,0,75,0,1,3,0
2022-03-23T22:25:00,1.96,0,75,0,1,3,0
2022-03-23T22:30:00,1.96,0,60,0,3,6,1
2022-03-23T22:35:00,1.96,0,60,0,3,6,1
2022-03-23T22:40:00,1.96,0,60,0,3,6,1
2022-03-23T22:45:00,1.96,0,60,0,3,6,1
2022-03-23T22:50:00,1.96,0,60,0,3,6,1
2022-03-23T22:55:00,1.96,0,60,0,3,6,1
2022-03-23T23:00:00,1.96,0,60,0,3,6,1
2022-03-23T23:05:00,1.96,0,60,0,3,6,1
2022-03-23T23:10:00,1.96,0,60,0,3,6,1
2022-03-23T23:15:00,1.96,0,60,0,3,6,1
2022-03-23T23:20:00,1.96,0,60,0,3,6,1
2022-03-23T23:25:00,1.96,0,60,0,3,6,1
2022-03-23T23:30:00,1.96,0,50,0,1,8,1
2022-03-23T23:35:00,1.96,0,50,0,1,8,1
2022-03-23T23:40:00,1.96,0,50,0,1,8,1
2022-03-23T23:45:00,1.96,0,50,0,1,8,1
2022-03-23T23:50:00,1.96,0,50,0,1,8,1
2022-03-23T23:55:00,1.96,0,50,0,1,8,1
2022-03-24T00:00:00,1.96,0,50,0,1,8,1
2022-03-24T00:05:00,1.96,0,50,0,1,8,1
2022-03-24T00:10:00,1.96,0,50,0,1,8,1
2022-03-24T00:15:00,1.96,0,50,0,1,8,1
2022-03-24T00:20:00,1.96,0,50,0,1,8,1
2022-03-24T00:25:00,1.96,0,50,0,1,8,1
2022-03-24T00:30:00,1.96,0,40,0,1,12,3
2022-03-24T00:35:00,1.96,0,40,0,1,12,3
2022-03-24T00:40:00,1.96,0,40,0,1,12,3
2022-03-24T00:45:00,1.96,0,40,0,1,12,3
2022-03-24T00:50:00,1.96,0,40,0,1,12,3
2022-03-24T00:55:00,1.96,0,40,0,1,12,3
2022-03-24T01:00:00,1.96,0,40,0,1,12,3
2022-03-24T01:05:00,1.96,0,40,0,1,12,3
2022-03-24T01:10:00,1.96,0,40,0,1,12,3
2022-03-24T01:15:00,1.96,0,40,0,1,12,3
2022-03-24T01:20:00,1.96,0,40,0,1,12,3
2022-03-24T01:25:00,1.96,0,40,0,1,12,3
2022-03-24T01:30:00,1.96,0,35,0,1,14,3
2022-03-24T01:35:00,1.96,0,35,0,1,14,3
2022-03-24T01:40:00,1.96,0,35,0,1,14,3
2022-03-24T01:45:00,1.96,0,35,0,1,14,3
2022-03-24T01:50:00,1.96,0,35,0,1,14,3
2022-03-24T01:55:00,1.96,0,35,0,1,14,3
2022-03-24T02:00:00,1.96,0,35,0,1,14,3
2022-03-24T02:05:00,1.96,0,35,0,1,14,3
2022-03-24T02:10:00,1.96,0,35,0,1,14,3
2022-03-24T02:15:00,1.96,0,35,0,1,14,3
